date,sku,location,demand,promotion,price
2022-01-01,P0001,S001,115,0,72.72
2022-01-01,P0002,S001,229,1,80.16
2022-01-01,P0003,S001,157,1,62.94
2022-01-01,P0004,S001,52,0,87.63
2022-01-01,P0005,S001,59,0,54.41
2022-01-01,P0006,S001,55,0,35.53
2022-01-01,P0007,S001,94,0,23.27
2022-01-01,P0008,S001,61,0,37.79
2022-01-01,P0009,S001,129,0,94.2
2022-01-01,P0010,S001,69,0,113.35
2022-01-01,P0011,S001,64,0,156.34
2022-01-01,P0012,S001,104,0,84.48
2022-01-01,P0013,S001,110,0,33.1
2022-01-01,P0014,S001,165,1,80.13
2022-01-01,P0015,S001,64,0,14.39
2022-01-01,P0016,S001,115,0,38.79
2022-01-01,P0017,S001,75,0,21.21
2022-01-01,P0018,S001,66,0,54.4
2022-01-01,P0019,S001,58,0,95.56
2022-01-01,P0020,S001,43,0,100.47
2022-01-01,P0001,S002,118,0,90.89
2022-01-01,P0002,S002,105,1,25.68
2022-01-01,P0003,S002,171,1,95.17
2022-01-01,P0004,S002,110,0,39.54
2022-01-01,P0005,S002,94,0,92.35
2022-01-01,P0006,S002,88,0,64.0
2022-01-01,P0007,S002,93,0,25.47
2022-01-01,P0008,S002,112,0,25.63
2022-01-01,P0009,S002,145,0,64.84
2022-01-01,P0010,S002,195,0,117.17
2022-01-01,P0011,S002,79,0,84.71
2022-01-01,P0012,S002,122,0,78.86
2022-01-01,P0013,S002,109,0,21.76
2022-01-01,P0014,S002,63,1,100.18
2022-01-01,P0015,S002,96,0,65.19
2022-01-01,P0016,S002,194,0,111.87
2022-01-01,P0017,S002,65,0,18.89
2022-01-01,P0018,S002,79,0,27.67
2022-01-01,P0019,S002,96,0,83.09
2022-01-01,P0020,S002,53,0,125.8
2022-01-01,P0001,S003,112,0,16.85
2022-01-01,P0002,S003,82,1,50.42
2022-01-01,P0003,S003,126,1,83.17
2022-01-01,P0004,S003,158,0,26.29
2022-01-01,P0005,S003,57,0,19.8
2022-01-01,P0006,S003,136,0,44.64
2022-01-01,P0007,S003,142,0,18.65
2022-01-01,P0008,S003,89,0,113.01
2022-01-01,P0009,S003,126,0,56.32
2022-01-01,P0010,S003,106,0,36.21
2022-01-01,P0011,S003,149,0,131.16
